WORD RANK FREQUENCY
Hoby 1428 2
aloofe 1429 2
Countries 1430 2
begins 1431 2
Treacherous 1432 2
Attendants 1433 2
apart 1434 2
blow 1435 2
assume 1436 2
distrust 1437 2
Obedience 1438 2
Closset 1439 2
Nephewes 1440 2
Vnction 1441 2
Liberty 1442 2
pittie 1443 2
Arrowes 1444 2
Behinde 1445 2
Thence 1446 2
frankely 1447 2
Comicall 1448 2
Comedie 1449 2
Occasions 1450 2
Rage 1451 2
escape 1452 2
Ape 1453 2
grownd 1454 2
shuffling 1455 2
craft 1456 2
least 1457 2
Minde 1458 2
Francisco 1459 2
motion 1460 2
whil 1461 2
burst 1462 2
act 1463 2
tricke 1464 2
Baby 1465 2
lowd 1466 2
heauie 1467 2
Beggers 1468 2
Thrift 1469 2
driue 1470 2
plac 1471 2
toe 1472 2
Argall 1473 2
passing 1474 2
fares 1475 2
Bow 1476 2
vnto 1477 2
Thought 1478 2
wounded 1479 2
pleas 1480 2
fals 1481 2
malicious 1482 2
fetch 1483 2
view 1484 2
ue 1485 2
Eyes 1486 2
Author 1487 2
Noise 1488 2
Prodigall 1489 2
expell 1490 2
step 1491 2
rotten 1492 2
leysure 1493 2
Things 1494 2
dishonour 1495 2
Shipwright 1496 2
cheefe 1497 2
demand 1498 2
naturall 1499 2
mens 1500 2
Guildenstern 1501 2
windes 1502 2
weake 1503 2
fro 1504 2
laid 1505 2
rich 1506 2
drinkes 1507 2
happy 1508 2
rugged 1509 2
wisely 1510 2
Frame 1511 2
discretion 1512 2
Feature 1513 2
Maiesties 1514 2
Larded 1515 2
Hangers 1516 2
Whale 1517 2
apt 1518 2
Winde 1519 2
Playing 1520 2
delight 1521 2
arrant 1522 2
sence 1523 2
ends 1524 2
Renish 1525 2
aske 1526 2
foot 1527 2
back 1528 2
saile 1529 2
braines 1530 2
sending 1531 2
Fell 1532 2
sorry 1533 2
harsh 1534 2
Volt 1535 2
imagination 1536 2
pleasures 1537 2
sweare 1538 2
Treacherie 1539 2
senselesse 1540 2
High 1541 2
fixt 1542 2
grasse 1543 2
smile 1544 2
Fire 1545 2
inward 1546 2
Clownes 1547 2
iealousie 1548 2
Fingers 1549 2
depends 1550 2
vndertake 1551 2
List 1552 2
Succession 1553 2
Doue 1554 2
held 1555 2
Feast 1556 2
hell 1557 2
signifie 1558 2
fooles 1559 2
towards 1560 2
ones 1561 2
willing 1562 2
weigh 1563 2
friendship 1564 2
tune 1565 2
feede 1566 2
twixt 1567 2
Vp 1568 2
limbes 1569 2
ioynt 1570 2
suffers 1571 2
obseruance 1572 2
Diuinity 1573 2
S 1574 2
Flourish 1575 2
Fishmonger 1576 2
Seruice 1577 2
terme 1578 2
beares 1579 2
Scripture 1580 2
Rogue 1581 2
Denmark 1582 2
fauours 1583 2
middle 1584 2
boy 1585 2
Mutes 1586 2
affliction 1587 2
knees 1588 2
Weaknesse 1589 2
absurd 1590 2
Businesse 1591 2
Pale 1592 2
hundred 1593 2
Argument 1594 2
mind 1595 2
sooner 1596 2
Blacke 1597 2
shapes 1598 2
contriue 1599 2
lines 1600 2
touching 1601 2
builds 1602 2
Eye 1603 2
remoue 1604 2
Schollers 1605 2
Fore 1606 2
Fye 1607 2
pith 1608 2
scope 1609 2
forc 1610 2
wildely 1611 2
City 1612 2
Theame 1613 2
die 1614 2
allowance 1615 2
hurt 1616 2
twaine 1617 2
weary 1618 2
Clown 1619 2
cease 1620 2
hat 1621 2
wherefore 1622 2
Angell 1623 2
Obserue 1624 2
Actors 1625 2
tearmes 1626 2
meerely 1627 2
whereon 1628 2
doubtfull 1629 2
sinnes 1630 2
catch 1631 2
Lome 1632 2
Ignorance 1633 2
fond 1634 2
rises 1635 2
Doomesday 1636 2
indeede 1637 2
Recoueries 1638 2
Flesh 1639 2
fight 1640 2
Being 1641 2
Epitaph 1642 2
readie 1643 2
alwayes 1644 2
Thunder 1645 2
cry 1646 2
Serpent 1647 2
Enemies 1648 2
single 1649 2
hid 1650 2
preuent 1651 2
apprehension 1652 2
broad 1653 2
Spring 1654 2
em 1655 2
Yong 1656 2
North 1657 2
Supper 1658 2
Excellent 1659 2
rellish 1660 2
minds 1661 2
Visitation 1662 2
Tragicall 1663 2
dismall 1664 2
estate 1665 2
